pl_name,hostname,default_flag,disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
EPIC 210696763.03,EPIC 210696763,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,7.98221,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3338,157,-157,0,0.33,0.01,-0.01,0,0.31,0.02,-0.02,0,,,,,,4.9,0,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h31m20.31s,52.8346342,+18d18m57.78s,18.3160503,93.1458,0.6099,-0.6021,16.416,0.105,-0.105,11.715,0.018,-0.018,15.3763,0.000678,-0.000678,12/14/2017,2017-12,12/14/2017
EPIC 210696763.03,EPIC 210696763,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,7.98471,0.00104,-0.0009,0,,,,,1.19,0.27,-0.52,0,0.106,0.024,-0.046,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.25,0.05,-0.03,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h31m20.31s,52.8346342,+18d18m57.78s,18.3160503,93.1458,0.6099,-0.6021,16.416,0.105,-0.105,11.715,0.018,-0.018,15.3763,0.000678,-0.000678,9/5/2019,2019-09,9/5/2019
EPIC 210736056.01,EPIC 210736056,1,CANDIDATE,Rizzuto et al. 2017,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,29.0529,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3373,157,-157,0,0.33,0.01,-0.01,0,0.31,0.02,-0.02,0,,,,,,4.9,0,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h37m35.47s,54.3977776,+18d53m46.55s,18.8962644,143.697,1.833,-1.789,17.74,0.2,-0.2,12.666,0.026,-0.026,16.305,0.000966,-0.000966,12/14/2017,2017-12,12/14/2017
EPIC 210744674.01,EPIC 210744674,0,FALSE POSITIVE,Crossfield et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,25.2077883,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6168.93,127.35,-152.92,0,1.84,0.11,-0.1,0,1.18,0.18,-0.16,0,-0.204,0.013,-0.013,0,[M/H],3.98,0.09,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h23m26.16s,65.8590018,+19d01m38.92s,19.0274791,537.214,9.848,-9.507,13.478,0.149,-0.149,10.548,0.018,-0.018,12.9184,0.000239,-0.000239,12/21/2016,2016-10,12/21/2016
EPIC 210744674.01,EPIC 210744674,1,FALSE POSITIVE,Crossfield et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,25.219709,0.000064,-0.000065,0,,,,,87,25,-43,0,7.8,2.2,-3.8,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,2.29,0.3,-0.17,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h23m26.16s,65.8590018,+19d01m38.92s,19.0274791,537.214,9.848,-9.507,13.478,0.149,-0.149,10.548,0.018,-0.018,12.9184,0.000239,-0.000239,9/5/2019,2019-09,9/5/2019
EPIC 210744674.01,EPIC 210744674,0,FALSE POSITIVE,Crossfield et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,25.2208,0.00019,-0.00019,0,,,,,65,26,-26,0,5.8,2.3,-2.3,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,6257,170,-170,0,1.41,0.27,-0.27,0,,,,,,,,,,4.19,0.14,-0.14,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h23m26.16s,65.8590018,+19d01m38.92s,19.0274791,537.214,9.848,-9.507,13.478,0.149,-0.149,10.548,0.018,-0.018,12.9184,0.000239,-0.000239,7/18/2016,2016-09,7/18/2016
EPIC 210754505.01,EPIC 210754505,0,FALSE POSITIVE,Adams et al. 2016,1,0,Transit,2016,K2,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,0.8706745,0.00006084,-0.00006084,0,,,,,13.023,13.657,-13.657,0,1.162,1.218,-1.218,0,,,,,,,,,,,,,,7760.77,,,0,2394,,,0,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,,6121,156.08,-156.08,0,1.47,0.09,-0.09,0,,,,,,,,,,4.17,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h18m34.79s,64.6449782,+19d10m44.54s,19.1790392,568.754,9.447,-9.149,13.573,0.103,-0.103,10.907,0.018,-0.018,13.1961,0.000223,-0.000223,8/9/2022,2017-07,8/9/2022
EPIC 210754505.01,EPIC 210754505,0,FALSE POSITIVE,Adams et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=ADAMS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...47A/abstract target=ref>Adams et al. 2016</a>,0.870775,0.000223,-0.000223,0,,,,,3.97,0.47,-0.47,0,0.354,0.042,-0.042,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ADAMS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...47A/abstract target=ref>Adams et al. 2016</a>,,5875,,,0,0.88,0.05,-0.05,0,,,,,0.04,,,0,[Fe/H],4.04,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h18m34.79s,64.6449782,+19d10m44.54s,19.1790392,568.754,9.447,-9.149,13.573,0.103,-0.103,10.907,0.018,-0.018,13.1961,0.000223,-0.000223,6/9/2016,2016-08,6/9/2016
EPIC 210754505.01,EPIC 210754505,0,FALSE POSITIVE,Adams et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,0.870673,0.000017,-0.000017,0,,,,,21,20,-20,0,1.9,1.8,-1.8,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,5647,29,-29,0,1.74,0.13,-0.13,0,,,,,,,,,,3.97,0.06,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h18m34.79s,64.6449782,+19d10m44.54s,19.1790392,568.754,9.447,-9.149,13.573,0.103,-0.103,10.907,0.018,-0.018,13.1961,0.000223,-0.000223,7/18/2016,2016-09,7/18/2016
EPIC 210754505.01,EPIC 210754505,1,FALSE POSITIVE,Adams et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,0.87052967,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6121,134.83,-177.32,0,1.47,0.11,-0.07,0,1.16,0.19,-0.13,0,-0.067,0.014,-0.014,0,[M/H],4.17,0.09,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h18m34.79s,64.6449782,+19d10m44.54s,19.1790392,568.754,9.447,-9.149,13.573,0.103,-0.103,10.907,0.018,-0.018,13.1961,0.000223,-0.000223,12/21/2016,2016-10,12/21/2016
EPIC 210769880.01,EPIC 210769880,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,1.43689647,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4876.7,28.91,-28.91,0,10.85,,,0,,,,,-0.259,0.027,-0.027,0,[M/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h10m07.90s,62.5328988,+19d24m40.22s,19.4111732,753.253,37.433,-37.433,11.43,0.157,-0.157,7.79,0.016,-0.016,10.9553,0.000555,-0.000555,12/21/2016,2016-10,12/21/2016
EPIC 210769880.01,EPIC 210769880,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,1.436756,0.000033,-0.000034,0,,,,,110,31,-31,0,9.8,2.8,-2.8,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,10.91,1.15,-0.51,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h10m07.90s,62.5328988,+19d24m40.22s,19.4111732,753.253,37.433,-37.433,11.43,0.157,-0.157,7.79,0.016,-0.016,10.9553,0.000555,-0.000555,9/5/2019,2019-09,9/5/2019
EPIC 210775710.01,EPIC 210775710,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,59.84871,0.00016,-0.00016,0,,,,,12,1.35,-0.34,0,1.1,0.12,-0.03,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,1.07,0.12,-0.02,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h37m05.84s,54.2743233,+19d29m58.54s,19.4995945,245.962,2.924,-2.856,11.758,0.045,-0.045,10.208,0.018,-0.018,11.8211,0.0003,-0.0003,9/5/2019,2019-09,9/5/2019
EPIC 210775710.01,EPIC 210775710,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,59.848566,0.000184,-0.000183,0,,,,,10.814,1.157,-0.566,0,0.96,0.1,-0.05,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5738,50,-50,0,0.98,0.1,-0.05,0,,,,,0.07,0.08,-0.08,0,[Fe/H],4.4,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h37m05.84s,54.2743233,+19d29m58.54s,19.4995945,245.962,2.924,-2.856,11.758,0.045,-0.045,10.208,0.018,-0.018,11.8211,0.0003,-0.0003,2/15/2018,2018-03,2/15/2018
EPIC 210777017.01,EPIC 210777017,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,11.37698,0.0012,-0.00086,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,,4397,,,0,0.64,0.06,-0.06,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h59m33.29s,59.8886978,+19d31m09.37s,19.5192704,220.327,1.23,-1.23,14.222,0.092,-0.092,11.22,0.02,-0.02,13.891,0.000258,-0.000258,9/19/2019,2019-02,9/19/2019
EPIC 210777017.01,EPIC 210777017,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,11.376,0.0015,-0.0013,0,,,,,2.03,0.21,-0.33,0,0.181,0.019,-0.029,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.64,0.06,-0.07,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h59m33.29s,59.8886978,+19d31m09.37s,19.5192704,220.327,1.23,-1.23,14.222,0.092,-0.092,11.22,0.02,-0.02,13.891,0.000258,-0.000258,9/5/2019,2019-09,9/5/2019
EPIC 210789323.01,EPIC 210789323,1,FALSE POSITIVE,Crossfield et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,29.12555,0.00034,-0.00034,0,,,,,205,67,-67,0,18.3,6,-6,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,4936,146,-146,0,3.9,2.7,-2.7,0,,,,,,,,,,3.28,0.58,-0.58,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h41m48.87s,55.4536223,+19d42m21.69s,19.7060261,402.788,5.781,-5.623,13.914,0.103,-0.103,11.077,0.019,-0.019,13.515,0.000328,-0.000328,7/18/2016,2016-09,7/18/2016
EPIC 210801536.01,EPIC 210801536,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,0.8925,0.00013,-0.00013,0,,,,,2.7,1.7,-2.3,0,0.24,0.15,-0.21,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,2,1.3,-1.7,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h31m16.52s,52.818831,+19d53m28.98s,19.8913826,,,,14.1961,0.0479,-0.0479,11.168,0.018,-0.018,13.8826,0.004352,-0.004352,9/5/2019,2019-09,9/5/2019
EPIC 210813978.01,EPIC 210813978,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,14.7582,0.0014,-0.0012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,,4434,,,0,0.7,1.9,-1.9,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h48m24.26s,57.1010868,+20d04m51.86s,20.081073,214.8,,,14.034,0.206,-0.206,11.113,0.021,-0.021,13.6807,0.000622,-0.000622,9/19/2019,2019-02,9/19/2019
EPIC 210813978.01,EPIC 210813978,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,14.7619,0.0014,-0.0014,0,,,,,2.11,0.16,-5.4,0,0.188,0.014,-0.48,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.73,0.04,-1.88,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h48m24.26s,57.1010868,+20d04m51.86s,20.081073,214.8,,,14.034,0.206,-0.206,11.113,0.021,-0.021,13.6807,0.000622,-0.000622,9/5/2019,2019-09,9/5/2019
EPIC 210827030.01,EPIC 210827030,1,FALSE POSITIVE,Rizzuto et al. 2017,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,0.5111,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,3092,157,-157,0,0.21,0.01,-0.01,0,0.18,0.02,-0.02,0,,,,,,5.04,0.02,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h07m03.44s,61.7643174,+20d16m50.18s,20.2806046,33.1857,0.0992,-0.0987,16.28,0.2,-0.2,10.556,0.018,-0.018,14.685,0.000785,-0.000785,12/14/2017,2017-12,12/14/2017
EPIC 210843708.01,EPIC 210843708,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,0.7041655,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4564,122,-122,0,9.32,,,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h51m09.37s,57.7890482,+20d32m06.29s,20.5350814,1740.92,159.74,-135.79,13.146,0.069,-0.069,10.065,0.018,-0.018,12.8221,0.00023,-0.00023,12/21/2016,2016-10,12/21/2016
EPIC 210852232.01,EPIC 210852232,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,1.93426,0.00016,-0.00015,0,,,,,1.64,0.24,-0.99,0,0.146,0.021,-0.088,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.93,0.07,-0.04,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h55m25.54s,58.8564158,+20d39m36.08s,20.6600216,327.984,3.102,-3.046,13.459,0.114,-0.114,11.248,0.022,-0.022,13.273,0.000287,-0.000287,9/5/2019,2019-09,9/5/2019
EPIC 210852232.02,EPIC 210852232,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,3.43827,0.00016,-0.00017,0,,,,,1.98,0.23,-0.31,0,0.177,0.021,-0.028,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.93,0.07,-0.04,0,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h55m25.54s,58.8564158,+20d39m36.08s,20.6600216,327.984,3.102,-3.046,13.459,0.114,-0.114,11.248,0.022,-0.022,13.273,0.000287,-0.000287,9/5/2019,2019-09,9/5/2019
EPIC 210877025.01,EPIC 210877025,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,18.03895153,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5089.61,101.59,-118.04,0,0.89,0.05,-0.06,0,0.85,0.08,-0.12,0,0.07,0.03,-0.03,0,[M/H],4.47,0.08,-0.09,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h46m33.92s,56.6413292,+21d02m03.25s,21.0342354,252.985,2.622,-2.57,13.146,0.092,-0.092,10.718,0.016,-0.016,12.9307,0.000872,-0.000872,12/21/2016,2016-10,12/21/2016
EPIC 210903662.01,EPIC 210903662,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,2.41040731,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,6276,137.29,-119.72,0,1.93,0.1,-0.1,0,1.23,0.21,-0.15,0,,,,,,3.96,0.07,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h00m12.27s,60.0511457,+21d26m51.13s,21.4475359,565.537,15.828,-15.003,12.261,0.057,-0.057,10.574,0.021,-0.021,12.0624,0.000242,-0.000242,12/21/2016,2016-10,12/21/2016
